id,Age,Sex,Year in school,What part of VA are you from?,"What is your high school GPA? (unweighted) (Please answer with a number, like 3 or 2.5)","What is your college GPA? (Please answer with a number, like 3 or 2.5)","On average, how many times per week do you skip a class? (Please answer with a number, like 0 or 2.5)","On average, how many hours of homework do you do per night? (Please answer with a number, like 0 or 2.5)","Which of the following majors are you considering? If you're planning to double major or minor, choose either one.",What was your favorite subject in high school?,Did you go to a public or private high school?,"Are you currently in, or do you plan to join, a fraternity or sorority?","How many school clubs are you in (Not counting collegiate sports)? Please answer with a number, like 0, or 2.","How many college sports do you play (not counting intramurals)? Please answer with a number, like 0, or 2.","On average, how many times per week do you exercise? Please answer with a number, like 0, or 2.","If you have a part time job, how many hours do you work? (Enter 0 if you don't have a part time job)",Are you a morning person?,"On average, how many hours do you sleep per night? (Please answer with a number, like 0 or 2.5)",How many meals do you eat per day?,"On average, how many days out of the week do you consume alcohol? (Please answer with a number, like 0 or 2.5)",Have you ever tried an illegal drug?,Are you currently in a romantic relationship?,"On average, how many times per week do you eat out (at a restaurant rather than a campus dining hall)? (Please answer with a number, like 0 or 2.5)","On average, how many hours per day do you play video games?","Overall, I'm enjoying my college experience",Where do you lean politically?,Marijuana should be legalized.,"In general, abortion should be allowed.",More laws should be passed that restrict the possession or sale of firearms.,There is too much income inequality in the United States.,Climate change is real.,Defund the police.,"How many siblings do you have? Please answer with a number, like 0, or 2.","Out of these four places, where would you want to live for the rest of your life?",Favorite Dining Hall on Campus,Choose a useless ability you would like to have which serves almost no practical purpose:,Which of the following do you see yourself seeking most in your life?,What made you choose CNU?,What is your favorite time of the year?,Are you left or right handed?,Have you ever fired a gun (any type of firearm; airsoft/paintball/BB-guns don't count)?,"On average, how many hours a day do you listen to music? (Please answer with a number; put zero if you hardly ever listen to music)","How many countries (other than the US) have you visited? Please answer with a number, like 0, or 2.","Ideally, at what age would you like to be married? (answer 0 if you don't want to get married)",Are you an introvert or an extrovert?,Cat person or dog person?
1,19,Female,Freshman,Richmond Area,3.9,2.7,0,1,Business (Luter school),History,Public,No,0,0,3,0,No,8,2,0,Yes,No,1,3,2,2,1,1,1,3,1,2,3,The countryside,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Money,The campus/enviorment,Summer,Left,Yes,5,0,25,4,Both
2,19,Female,Freshman,Northern VA (DC Area),4,3,1,3.5,Business (Luter school),Other,Public,No,0,0,4,5,Yes,6.5,2,0,No,Yes,3,0,2,2,3,1,1,1,1,4,1,The city,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Money,The campus/enviorment,Spring,Ambidextrous,No,1,3,24,2,Both
3,19,Female,Freshman,Richmond Area,3.8,3.4,0,3,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",History,Public,No,1,1,4,0,Yes,7.5,3,1,No,No,,1,4,1,1,1,1,1,1,2,2,The city,Common's,Be able to communicate with insects.,"Meaning, Money",The campus/enviorment,Fall,Right,Yes,1,15,27,2,Cats
4,19,Male,Freshman,Northern VA (DC Area),3.6,3.5,1,3,Business (Luter school),History,Public,No,1,0,7,7,Yes,7.5,More than 3,0,No,Yes,2,0,2,4,4,2,2,4,1,5,2,The city,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,"Meaning, Money, Power",Other,Spring,Right,No,3,0,30,4,Dogs
5,19,Female,Freshman,Northern VA (DC Area),3.2,3.6,1,1.5,Business (Luter school),Math,Private,No,2,1,6,0,Yes,7.5,2,0,No,Yes,2,1,1,3,4,1,1,2,1,5,1,The countryside,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Money,The campus/enviorment,Spring,Right,No,4,4,26,2,Neither
6,18,Male,Freshman,Northern VA (DC Area),3,2.5,3,1,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",Other,Public,No,0,1,7,0,No,8,3,0,Yes,No,3,0,3,3,2,3,3,3,3,3,1,The beach,Common's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Meaning,Sports,Summer,Ambidextrous,No,1,0,24,4,Dogs
7,18,Male,Freshman,Northern VA (DC Area),3.6,2.5,0,2,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Other,Public,Yes,1,1,4,0,No,7,3,2,No,No,1,3,2,3,1,2,2,3,3,3,1,The beach,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,"Money, Power",The campus/enviorment,Summer,Right,Yes,4,10,30,3,Neither
8,19,Male,Freshman,Hampton Roads,4.3,3.86,0,2,Business (Luter school),Math,Public,No,0,0,2,0,Yes,8,3,0,No,No,0,0,1,3,4,3,3,3,2,5,2,The moutains,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,"Meaning, Money",Academics,Spring,Right,No,5,0,28,2,Dogs
9,19,Male,Freshman,Northern VA (DC Area),3.3,2.3,0,2,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",English,Public,No,1,0,1,0,No,7.5,2,0,No,No,1,4,3,2,3,1,4,3,1,3,2,The beach,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Neither; I want to go with the flow,The campus/enviorment,Winter,Left,No,5,0,30,2,Both
10,18,Male,Freshman,Other part of VA,3.8,3.8,0,1,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",English,Public,No,1,0,5,15,No,7,3,0,No,Yes,2,3,3,2,3,1,2,3,1,5,2,The beach,Common's,"Whenever you crack a joke, a laugh track plays out loud.",Meaning,Other,Fall,Right,Yes,3,1,25,2,Cats
11,21,Female,Freshman,Hampton Roads,3.8,2.85,1,2,Business (Luter school),Other,Public,Yes,0,0,0,25,No,8,2,0,No,Yes,7,0,3,3,3,3,3,3,3,3,1,The countryside,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Money,Academics,Summer,Right,No,5,2,26,3,Neither
12,19,Female,Freshman,Hampton Roads,4,3.9,0,4.5,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Science,Public,Yes,4,0,1,0,Yes,7,2,0,Yes,Yes,0.5,0,3,1,2,1,1,1,1,1,1,The beach,Regatta's,Be able to communicate with insects.,Meaning,Academics,Summer,Right,No,4,0,26,2,Cats
13,19,Female,Freshman,Other part of VA,3.3,2.2,0,5,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",History,Public,Yes,4,0,3,10,No,5-6,2,1,No,Yes,1,0,3,2,2,1,3,3,1,4,0,The beach,Regatta's,"Whenever you crack a joke, a laugh track plays out loud.","Meaning, Money",The campus/enviorment,Summer,Right,No,2,1,23,4,Dogs
14,19,Female,Freshman,Northern VA (DC Area),4.3,3.9,1,1.5,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Science,Public,Yes,3,0,3,0,No,10,1,0,Yes,No,1,0,4,4,1,5,4,3,4,5,2,The beach,Common's,Be able to communicate with insects.,Meaning,Academics,Winter,Right,No,5,1,25,3,Cats
15,19,Female,Freshman,Northern VA (DC Area),3.6,1.3,1,4,"Arts or Humanities (English, Art, Music, History, etc)",History,Public,No,0,0,5,0,No,9,1,1,No,No,2,2,2,2,1,1,1,1,1,3,2,The beach,Regatta's,"Whenever you crack a joke, a laugh track plays out loud.",Money,The campus/enviorment,Summer,Right,No,4,0,28,4,Dogs
16,18,Male,Freshman,Northern VA (DC Area),3.8,3.9,0,2,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Math,Public,No,1,1,4,0,No,6,2,0,Yes,Yes,1,0,4,2,1,1,3,2,1,3,3,The beach,Common's,"Every time you put on/take off sunglasses, a sound effect plays.",Neither; I want to go with the flow,The campus/enviorment,Spring,Right,Yes,4,1,35,2,Cats
17,18,Female,Freshman,Hampton Roads,3.8,2.7,0,1,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",English,Public,No,1,0,1,10,Yes,8,3,1,Yes,Yes,2,0,5,2,2,1,1,1,1,3,1,The beach,Common's,Be able to communicate with insects.,Meaning,The campus/enviorment,Summer,Right,No,2,0,26,2,Dogs
18,19,Female,Freshman,Northern VA (DC Area),4.2,3.8,0 or 1,1,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",English,Public,No,2,0,3,0,Yes,8,2,0,No,No,3,0,2,1,1,1,1,1,1,1,1,The moutains,Regatta's,Be able to communicate with insects.,Meaning,The campus/enviorment,Fall,Left,No,5,1,28,2,Both
19,19,Female,Freshman,Northern VA (DC Area),4,3.4,0,1.5,"Arts or Humanities (English, Art, Music, History, etc)",History,Public,Yes,0,0,0,0,No,5.5,2,2,No,No,2,0,1,1,2,1,1,1,1,2,2,The moutains,Common's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,"Meaning, Money",The campus/enviorment,Fall,Right,No,3,3,30,2,Cats
20,19,Female,Freshman,Northern VA (DC Area),3.87,3.66,0,1,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",English,Public,Yes,2,0,5,0,Yes,8,3,0,Yes,No,1,0,1,1,1,1,2,1,1,3,1,The beach,Regatta's,Be able to communicate with insects.,Meaning,Other,Spring,Right,Yes,8,0,24,5,Both
21,20,Male,Sophomore,Richmond Area,3.2,2.7,0,3,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",Science,Public,No,2,0,2,30,No,8,3,2,No,No,2,0,2,1,1,1,1,1,1,3,2,The city,Regatta's,Be able to communicate with insects.,Neither; I want to go with the flow,The campus/enviorment,Summer,Right,No,10,0,30,3,Dogs
22,19,Female,Freshman,Northern VA (DC Area),3.9,3.6,0,3,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",History,Public,No,2,0,2,0,No,9,3,0,No,Yes,1,0,3,3,2,2,1,4,1,5,2,The moutains,Regatta's,Be able to communicate with insects.,Neither; I want to go with the flow,The campus/enviorment,Fall,Right,No,3,2,26,2,Cats
23,19,Female,Freshman,Northern VA (DC Area),3.9,3.2,0,1,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",Other,Public,No,3,1,5,0,Yes,7,2,1,Yes,No,1,0,4,1,1,1,1,1,1,1,3,The countryside,Regatta's,Be able to communicate with insects.,Meaning,The campus/enviorment,Spring,Right,No,10,1,30,4,Cats
24,18,Male,Freshman,Northern VA (DC Area),3.5,2.8,0.2,1.5,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",History,Private,Yes,1 soon 2,1,4,,No,8,2,2.5,Yes,No,2,1.5,2,2,1,1,2,2,1,3,1,The city,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,"Meaning, Money, Power, Neither; I want to go with the flow",Sports,Winter,Ambidextrous,No,0.5,4,26,3,Both
25,18,Male,Freshman,Northern VA (DC Area),3.5,1.6,1,1.5,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",History,Public,No,1,1,4,0,No,8,2,4,No,No,5,0,3,4,3,4,3,2,3,5,3,The beach,Common's,"Whenever you crack a joke, a laugh track plays out loud.",Meaning,Other,Fall,Left,Yes,3,3,28,2,Dogs
26,18,Male,Freshman,Hampton Roads,3.95,2.5,3,2,Business (Luter school),History,Public,No,0,0,2,0,No,7,2,0,No,Yes,2,2,3,3,3,1,1,2,1,2,2,The beach,Common's,Be able to communicate with insects.,Neither; I want to go with the flow,Other,Spring,Right,Yes,4,1,25,1,Cats
27,20,Male,Sophomore,Hampton Roads,3.5,2.07,1,2,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",Math,Public,No,0,1,7,0,Yes,6,More than 3,0,No,No,3,0,2,4,3,5,5,4,5,5,1,The beach,Common's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Money,Sports,Spring,Right,Yes,3,0,30,2,Both
28,20,Female,Sophomore,Richmond Area,3.9,2.5,2,2,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Science,Private,No,0,0,3,0,No,7,2,1,Yes,No,3,0,1,3,2,1,1,1,1,4,2,The beach,Common's,Be able to communicate with insects.,"Meaning, Money",The campus/enviorment,Summer,Right,No,4,0,26,3,Dogs
29,19,Female,Freshman,Western VA,4.2,3.2,0,3,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",English,Public,No,1,0,1,0,No,7,2,0,No,Yes,1,0,1,1,3,1,1,2,1,1,0,The city,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Meaning,The campus/enviorment,Summer,Right,No,6,0,25,2,Dogs
30,21,Male,Sophomore,Richmond Area,3.45,2.45,2,3,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",Other,Public,No,0,1,5,,No,6,2,2,I did not inhale.,Yes,3,6,2,3,1,1,1,2,1,3,3,The beach,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,"Money, Power",Sports,Summer,Ambidextrous,Yes,2,1,29,5,Dogs
31,19,Male,Freshman,Northern VA (DC Area),4.2,2.5,3,2,"Arts or Humanities (English, Art, Music, History, etc)",History,Private,No,,,,,No,8,2,0,No,No,1,7,3,3,4,1,3,4,1,5,3,The beach,Regatta's,,"Meaning, Money",Other,Winter,Right,No,12,12,27,1,Both
32,19,Female,Freshman,I'm not from VA,4,3.8,0,2,Business (Luter school),Other,Public,No,0,0,0,8,Yes,8,2,0,No,No,1,0,2,3,3,2,2,2,2,5,1,The beach,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Meaning,Academics,Fall,Right,No,3,18,28,5,Dogs
33,19,Male,Freshman,Northern VA (DC Area),3.5,2.8,0,1,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",Math,Public,No,0,1,7,0,No,6,3,2,No,No,1,1,2,3,1,3,3,3,3,3,3,The beach,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Money,Sports,Summer,Right,Yes,2,5,80,3,Dogs
34,20,Male,Junior,Other part of VA,3.4,2.5,1,3,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Science,Public,Yes,0,0,5,0,No,6,2,3,Yes,Yes,2,10,1,3,1,2,1,3,1,4,2,The beach,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Money,The campus/enviorment,Spring,Right,Yes,12,0,26,4,Both
35,18,Female,Freshman,Northern VA (DC Area),3.8,3.1,2,4,Business (Luter school),Science,Public,Yes,1,1,5-6,24,No,7-8,3,2,No,No,2,0,1,5,4,3,3,3,3,3,1,The beach,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,"Meaning, Money, Power",Sports,Summer,Right,Yes,3,3,25,5,Dogs
